distance, drive speed, angle, turn rate, x, y
12.75, 0, -3.2385, 102, -2.02807990289967, -205.3279081755047
12.75, 0, -3.1518, 102, -14.75979829128986, -204.6453784115184
13.25, 0, -3.286, 106, -27.97022418550521, -203.6220760644847
12.75, 0, -3.2742, 102, -40.59811976312715, -201.8617484584193
13.125, 0, -2.8245, 106, -53.66732095399415, -203.0707171232905
13.125, 0, -3.66975, 105, -66.71930169800458, -201.6881746617432
12.875, 0, -4.25905, 103, -75.47643820133555, -192.2500506287572
12.875, 0, -1.80765, 104, -88.27608702642152, -193.6409549944398
13.25, 0, 0.159, 107, -79.27863966891178, -203.3676420485627
12.75, 0, -1.224, 102, -68.29399775576551, -209.8406739533157
12.75, 0, -4.4541, 102, -80.46491820802576, -213.6395152693953
13.0, 0, -5.023199999999999, 105, -80.12356419147991, -200.6439976792649
13.125, 0, -5.082, 105, -75.74393512068891, -188.2712666063658
12.75, 0, -4.2942, 102, -76.05358917152765, -175.5250273818416
12.75, 0, -2.0043, 103, -88.80321537552208, -175.4273971692085
12.75, 0, -1.4178, 102, -90.58559271859188, -188.0521993857548
12.625, 0, -3.12595, 103, -98.72925209780135, -197.6995532672817
13.125, 0, -4.79325, 105, -107.7025097335708, -188.1211258179503
12.75, 0, -2.7948, 102, -117.8337798651076, -180.3803335121311
12.75, 0, 0.102, 102, -114.996677093597, -192.8106733250198
13.0, 0, -0.364, 104, -102.1080641640298, -194.5088066389239
12.75, 0, -3.7485, 102, -108.0573373899389, -205.7857143748008
13.5, 0, -5.1786, 108, -111.3821020867981, -192.7015277470231
12.75, 0, -4.794, 104, -107.933243483419, -180.4268434604967
13.0, 0, -4.446, 104, -109.1325923094126, -167.4822862106875
12.75, 0, -2.2899, 102, -121.5573446106448, -164.6208127697789
12.75, 0, -1.8079, 102, -127.4235726143885, -175.9411426681561
12.75, 0, -2.9427, 102, -136.609776057409, -184.7828713624466
12.875, 0, -4.3672, 103, -147.8251964357787, -178.4598996926975
12.75, 0, -4.1208, 102, -153.5811758305129, -167.0831162629492
13.125, 0, -3.21825, 106, -164.9192135546247, -160.471420144205
13.5, 0, -3.1752, 109, -178.3987016156072, -159.7275104629735
12.75, 0, -4.467599999999999, 103, -188.3142981209147, -151.7123095332442
12.75, 0, -5.30755, 102, -186.092083879755, -139.1574593204226
13.0, 0, -4.2951, 104, -184.9374391631757, -126.2088379428985
12.75, 0, 0.357, 102, -189.8820074300917, -137.9610183641568
12.625, 0, -0.606, 103, -177.3547264379116, -139.5287734288796
12.75, 0, -4.4541, 102, -187.7939586003941, -146.8489463679427
12.75, 0, -4.8195, 103, -188.7568005913182, -134.1353538268663
12.75, 0, -4.9317, 104, -186.6850864197891, -121.5547934104347
13.375, 0, -5.39815, 108, -180.8368986401276, -109.5261058388906
13.25, 0, -5.6816, 107, -171.081819120491, -100.5594496301601
12.75, 0, -5.63075, 102, -160.7570571018669, -93.07868835480994
12.75, 0, -5.8479, 102, -149.8466580503741, -86.48128791697198
13.0, 0, -6.2452, 104, -137.2089385230397, -83.43365848601563
12.75, 0, -6.3444, 102, -124.4597985078163, -83.58174248997461
12.75, 0, -6.563699999999999, 102, -111.8954626345458, -85.7496825407253
13.125, 0, -6.9825, 105, -100.3143169679825, -91.92565939057202
12.875, 0, -7.07095, 103, -90.83732346415831, -100.6407164258686
12.75, 0, -7.2216, 103, -82.54863953719779, -110.3288647917302
12.625, 0, -5.45905, 102, -69.9442438924047, -111.0498609286971
12.75, 0, 0.918, 102, -78.15537319459015, -120.8038270749779
12.75, 0, 2.2491, 103, -78.31797811975555, -108.0548639940716
12.75, 0, 2.2491, 103, -86.3182601770102, -98.12722646017818
13.375, 0, 2.5546, 107, -96.19759772747496, -89.11116775562347
12.75, 0, 2.7795, 103, -107.538745559004, -83.28528877787219
13.375, 0, 1.80295, 107, -116.3623252174169, -73.2336686591231
12.75, 0, -0.153, 103, -107.710489771311, -63.86840072843871
13.125, 0, -2.4255, 106, -104.0638210898828, -76.47662949095292
12.75, 0, -2.3613, 102, -113.4085463792449, -85.15064870158163
12.625, 0, 0.101, 102, -108.0236790953029, -96.56966045104276
12.875, 0, 1.18965, 104, -97.73778577894094, -88.82588723093749
13.125, 0, 0.609, 106, -89.57221701771349, -78.55023095964919
